10.035,551,775
20.042,560,779
30.049,554,773
40.056,562,780
50.063,568,742
60.070,564,784
70.077,565,767
80.084,553,714
90.091,556,704
100.099,562,744
110.106,563,780
120.114,570,787
130.121,571,787
140.128,575,701
150.135,572,734
160.142,567,786
170.149,534,787
180.156,535,787
190.163,554,788
200.170,568,788
210.178,570,788
220.185,542,788
230.193,540,788
240.200,541,788
250.207,556,789
260.214,559,788
270.221,566,788
280.228,553,787
460.493,535,785
470.500,549,792
480.507,547,792
490.514,540,795
500.521,538,790
510.528,524,790
520.536,533,790
530.543,521,790
540.551,526,790
550.558,535,791
560.565,528,790
570.572,523,791
580.579,524,791
590.586,518,791
600.593,514,791
610.600,520,791
620.607,515,791
630.615,517,791
640.622,516,791
650.630,518,791
660.637,517,791
670.644,513,791
680.651,516,791
690.658,522,791
700.665,520,791
710.672,520,791
720.679,525,791
730.686,523,791
740.694,526,791
750.701,523,791
760.709,518,791
770.716,516,791
780.723,519,791
790.730,514,791
800.737,523,791
810.744,521,791
820.751,518,791
830.758,529,791
840.765,525,791
850.772,520,791
860.779,527,791
870.787,535,790
880.794,527,790
890.802,519,790
900.809,525,790
910.816,527,790
920.823,527,789
930.830,529,789
10.005,526,789
20.013,532,788
30.020,525,788
40.028,525,788
50.035,531,787
60.042,526,786
70.049,524,785
80.056,527,785
90.063,521,784
100.070,519,784
110.077,517,783
120.084,517,783
130.092,519,783
140.099,517,783
150.107,521,783
160.114,522,783
170.121,518,782
180.128,520,783
190.135,520,782
200.142,515,782
210.149,523,781
220.156,515,782
10.005,524,781
20.013,517,781
30.020,520,781
10.005,519,781
20.013,520,780
30.020,515,780
40.028,519,780
50.035,519,780
60.042,516,780
70.049,519,780
80.056,520,780
90.063,519,780
100.070,526,781
110.077,514,780
120.084,515,780
130.092,519,780
140.099,519,780
150.107,526,780
160.114,523,780
170.121,515,780
180.128,523,780
190.135,514,780
200.142,520,779
210.149,517,780
220.156,514,780
230.163,520,780
240.171,514,780
250.178,521,780
260.186,525,780
270.193,516,780
280.200,524,780
290.207,519,780
300.214,516,780
310.221,526,782
320.228,525,782
330.235,532,782
340.242,525,783
350.249,527,783
360.256,526,782
370.264,515,780
380.271,520,780
390.279,516,780
400.286,520,780
410.293,520,780
420.300,518,779
430.307,526,779
440.314,527,781
450.321,530,778
460.328,534,777
470.335,524,777
480.343,524,777
490.350,515,769
500.358,520,771
510.365,521,769
520.372,520,771
530.379,525,773
540.386,523,775
550.393,521,774
560.400,520,774
570.407,515,774
580.414,518,774
590.422,522,773
600.429,516,773
610.437,523,774
620.444,517,775
630.451,518,775
640.458,522,775
650.465,520,776
660.472,523,776
670.479,521,776
680.486,522,776
690.493,521,775
700.500,519,775
710.507,516,775
720.515,518,775
730.522,521,773
740.530,514,774
750.537,522,774
760.544,523,774
770.551,519,771
780.558,521,771
790.565,520,771
10.005,527,772
20.013,530,772
10.005,528,772
20.013,526,772
10.005,543,772
20.013,529,772
30.020,524,772
40.028,521,772
50.035,513,772
60.042,517,772
70.049,522,772
80.056,519,772
90.063,520,773
100.070,525,773
110.077,535,772
120.084,534,772
130.092,548,773
140.099,560,774
150.107,565,773
160.114,571,773
170.121,573,773
180.128,575,773
190.135,578,773
200.142,579,773
210.149,581,773
220.156,582,773
230.163,583,773
240.171,585,773
250.178,585,773
260.186,587,773
270.193,587,774
280.200,588,774
290.207,588,774
300.214,589,774
310.221,588,774
320.228,573,775
330.235,570,775
340.242,575,775
350.249,565,776
360.256,560,775
370.264,566,776
380.271,569,776
390.279,568,776
400.286,575,776
410.293,579,776
420.300,582,776
430.307,583,777
440.314,572,777
450.321,577,777
460.328,582,777
470.335,584,777
480.343,585,777
490.350,585,777
500.358,584,777
510.365,586,778
520.372,587,778
530.379,575,777
540.386,580,777
550.393,561,777
560.400,567,777
570.407,576,777
580.414,563,777
590.422,552,777
600.429,557,777
610.437,568,777
620.444,571,777
630.451,558,777
640.458,551,778
650.465,541,777
660.472,548,778
670.479,543,778
680.486,539,777
690.493,525,777
700.500,530,777
710.507,532,778
720.515,540,777
730.522,531,777
740.530,521,778
750.537,529,778
760.544,536,778
770.551,531,778
780.558,521,778
790.565,523,778
800.572,526,743
810.579,515,742
820.586,511,748
830.594,513,750
840.601,509,750
850.609,516,750
860.616,515,751
870.623,515,751
880.630,520,751
890.637,517,750
900.644,516,749
910.651,519,747
920.658,517,746
930.665,513,746
940.673,515,745
950.680,511,744
960.688,517,742
970.695,519,742
980.702,520,741
990.709,515,740
1000.716,523,740
1010.723,518,739
1020.730,521,739
1030.737,525,738
1040.744,515,738
1050.752,515,737
1060.759,515,737
1070.767,515,736
1080.774,528,736
1090.781,518,735
1100.788,514,735
1110.795,515,734
1120.802,517,734
1130.809,515,734
1140.816,517,734
1150.823,517,733
1160.830,514,733
1170.837,513,733
1180.845,516,733
1190.852,511,731
1200.860,514,732
1210.867,517,731
1220.874,517,731
1230.881,522,731
1240.888,513,730
1250.895,514,730
1260.902,515,730
1270.909,514,729
1280.916,516,730
1290.924,514,730
1300.931,516,729
1310.939,519,728
1320.946,519,728
1330.953,515,728
1340.960,518,728
1350.967,514,728
1360.974,514,728
1370.981,511,728
